date,site_id,chl
2018-05-23,KC10,5.984978859165759
2018-05-29,QCS01,1.8195439448175779
2018-05-30,DFO2,6.089286309433293
2018-06-19,DFO2,2.8071969137758375
2018-06-27,KC10,2.8388513974377814
2018-07-14,QCS01,6.639640626565042
2018-07-15,KC10,3.8157394529333413
2018-07-24,DFO2,2.1429419541784718
2018-08-19,KC10,4.374496496398664
2018-08-21,DFO2,3.9551375293041025
2018-08-28,QCS01,6.074455655497234
2018-09-11,KC10,1.1678882966853075
2018-09-13,QCS01,2.4414552207722804
2018-09-14,DFO2,2.0530571871431946
2018-10-23,KC10,1.843135677732445
2019-05-09,QU39,3.83
2019-05-11,KC10,4.98
2019-05-13,QCS01,12.16
2019-05-14,DFO2,6
2019-06-04,QU39,2.75
2019-06-09,QCS01,2.79
2019-06-10,KC10,4.68
2019-06-11,DFO2,3.54
2019-07-06,DFO2,5.2700000000000005
2019-07-07,QCS01,4.75
2019-07-09,QU39,1.4300000000000002
2019-07-10,KC10,1.5999999999999999
2019-08-03,KC10,1.61
2019-08-05,DFO2,4.15
2019-08-06,QCS01,5.22
2019-08-07,QU39,3.4499999999999997
2019-08-29,QU39,1.69
2019-08-31,QCS01,4.82
2019-09-01,KC10,4.33
2019-09-02,DFO2,6.92
2019-10-01,KC10,0.81
2019-10-04,DFO2,1.55
2019-10-05,QCS01,1.94
2019-10-09,QU39,1.4
2020-04-29,QU39,2.37
2020-04-30,KC10,9.27
2020-05-01,QCS01,5.04
2020-05-04,DFO2,2.69
2020-06-04,KC10,2.7600000000000002
2020-06-04,QU39,1.78
2020-06-06,DFO2,1.34
2020-06-08,QCS01,2.37
2020-07-02,KC10,5.69
2020-07-05,QCS01,4
2020-07-06,DFO2,1.18
2020-07-09,QU39,0.89
2020-08-04,QU39,1.03
2020-08-07,KC10,3.1999999999999997
2020-08-08,DFO2,2.19
2020-09-01,QU39,2.07
2020-09-03,KC10,1.52
2020-09-04,QCS01,2.17
2020-09-05,DFO2,0.56
2020-10-01,KC10,1.8800000000000001
2020-10-02,QCS01,0.8200000000000001
2020-10-04,DFO2,1.21
2020-10-08,QU39,0.78
