sample_name,cluster
KC10_2018-05-23,1
QCS01_2018-05-29,1
DFO2_2018-05-30,2
DFO2_2018-06-19,2
KC10_2018-06-27,1
QCS01_2018-07-14,3
KC10_2018-07-15,1
DFO2_2018-07-24,2
KC10_2018-08-19,1
QCS01_2018-08-28,3
KC10_2018-09-11,3
QCS01_2018-09-13,3
DFO2_2018-09-14,2
KC10_2018-10-23,2
KC10_2019-05-11,2
QCS01_2019-05-13,1
DFO2_2019-05-14,2
QCS01_2019-06-09,1
KC10_2019-06-10,3
DFO2_2019-06-11,2
DFO2_2019-07-06,2
QCS01_2019-07-07,1
KC10_2019-07-10,1
KC10_2019-08-03,3
DFO2_2019-08-05,2
QCS01_2019-08-06,3
QCS01_2019-08-31,3
KC10_2019-09-01,3
DFO2_2019-09-02,2
KC10_2019-10-01,2
DFO2_2019-10-04,2
QCS01_2019-10-05,3
KC10_2020-04-30,3
QCS01_2020-05-01,3
DFO2_2020-05-04,2
DFO2_2020-06-06,2
QCS01_2020-06-08,1
KC10_2020-07-02,3
QCS01_2020-07-05,3
DFO2_2020-07-06,2
KC10_2020-08-07,1
DFO2_2020-08-08,2
KC10_2020-09-03,3
QCS01_2020-09-04,1
DFO2_2020-09-05,2
KC10_2020-10-01,3
QCS01_2020-10-02,2
DFO2_2020-10-04,2
